title,body_part,image_url,image_file
Bench Press,Chest,https://apilyfta.com/static/GymvisualPNG/00251101-Barbell-Bench-Press_Chest-FIX_small.png,images\Bench Press__Chest__32206867.png
Triceps Pushdown,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/02411101-Cable-Triceps-Pushdown-(V-bar-attachment)_Upper-Arms_small.png,"images\Triceps Pushdown__Triceps, Upper Arms__39664646.png"
Lever Leg Extension,"Quadriceps, Thighs",https://apilyfta.com/static/GymvisualPNG/05851101-Lever-Leg-Extension_Thighs_small.png,"images\Lever Leg Extension__Quadriceps, Thighs__56908766.png"
Lateral Raise,Shoulders,https://apilyfta.com/static/GymvisualPNG/03341101-Dumbbell-Lateral-Raise_shoulder-AFIX_small.png,images\Lateral Raise__Shoulders__66080424.png
Lever Seated Fly,Chest,https://apilyfta.com/static/GymvisualPNG/05961101-Lever-Seated-Fly_Chest_small.png,images\Lever Seated Fly__Chest__45391721.png
Hammer Curl,Biceps,https://apilyfta.com/static/GymvisualPNG/03121101-Dumbbell-Hammer-Curl-II_Upper-Arms_small.png,images\Hammer Curl__Biceps__54811970.png
Straight Back Seated Row,Back,https://apilyfta.com/static/GymvisualPNG/02391101-Cable-Straight-Back-Seated-Row_Back_small.png,images\Straight Back Seated Row__Back__93985065.png
Incline Bench Press,Chest,https://apilyfta.com/static/GymvisualPNG/03141101-Dumbbell-Incline-Bench-Press_Chest_small.png,images\Incline Bench Press__Chest__88846739.png
Dumbbell Incline Bench Press,Chest,https://apilyfta.com/static/GymvisualPNG/03141101-Dumbbell-Incline-Bench-Press_Chest-FIX_small.png,images\Dumbbell Incline Bench Press__Chest__98586026.png
Seated Shoulder Press,Shoulders,https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders_small.png,images\Seated Shoulder Press__Shoulders__47820001.png
Bar Lateral Pulldown,Back,https://apilyfta.com/static/GymvisualPNG/01501101-Cable-Bar-Lateral-Pulldown_Back_small.png,images\Bar Lateral Pulldown__Back__19516059.png
Lever Seated Leg Curl,"Hamstrings, Thighs",https://apilyfta.com/static/GymvisualPNG/05991101-Lever-Seated-Leg-Curl_Thighs-FIX_small.png,"images\Lever Seated Leg Curl__Hamstrings, Thighs__39060510.png"
Lever Lying Leg Curl,"Hamstrings, Thighs",https://apilyfta.com/static/GymvisualPNG/05861101-Lever-Lying-Leg-Curl_Thighs_small.png,"images\Lever Lying Leg Curl__Hamstrings, Thighs__35933507.png"
Cable Pushdown,"Triceps, Upper Arms",https://apilyfta.com/static/GymvisualPNG/02001101-Cable-Pushdown-(with-rope-attachment)_Upper-Arms_small.png,"images\Cable Pushdown__Triceps, Upper Arms__43619719.png"
Dumbbell Bench Press,Chest,https://apilyfta.com/static/GymvisualPNG/02891101-Dumbbell-Bench-Press_Chest_small.png,images\Dumbbell Bench Press__Chest__3909034.png
Lever Seated Shoulder Press,Shoulders,https://apilyfta.com/static/GymvisualPNG/14541101-Lever-Seated-Shoulder-Press_Shoulders_small.png,images\Lever Seated Shoulder Press__Shoulders__78511327.png
Full Squat,Quadriceps,https://apilyfta.com/static/GymvisualPNG/00431101-Barbell-Full-Squat_Thighs_small.png,images\Full Squat__Quadriceps__90063810.png
