canonical_name,display_name_vi,category,food_role,edible_form,kcal_per_100g,protein_g_per_100g,carb_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,default_serving_g,aliases,source,is_active
chicken_breast,Ức gà,protein_animal,protein_source,cooked,165,31,0,3.6,0,74,120,uc ga|ức gà|chicken breast|breast chicken,manual_seed,1
chicken_thigh,Đùi gà,protein_animal,protein_source,cooked,209,26,0,10.9,0,90,120,dui ga|đùi gà|chicken thigh,manual_seed,1
lean_beef,Thịt bò nạc,protein_animal,protein_source,cooked,217,26,0,12,0,72,100,thit bo nac|thịt bò nạc|lean beef|beef,manual_seed,1
pork_tenderloin,Thịt thăn heo,protein_animal,protein_source,cooked,143,26,0,3.5,0,57,100,thit than heo|thịt thăn heo|pork tenderloin,manual_seed,1
egg,Trứng gà,protein_animal,protein_source,cooked,155,13,1.1,11,0,124,50,trung ga|trứng gà|egg|boiled egg,manual_seed,1
egg_white,Lòng trắng trứng,protein_animal,protein_source,cooked,52,11,0.7,0.2,0,166,100,long trang trung|lòng trắng trứng|egg white,manual_seed,1
tuna,Cá ngừ,protein_animal,protein_source,cooked,132,28,0,1,0,47,100,ca ngu|cá ngừ|tuna,manual_seed,1
salmon,Cá hồi,protein_animal,protein_source,cooked,208,20,0,13,0,59,100,ca hoi|cá hồi|salmon,manual_seed,1
shrimp,Tôm,protein_animal,protein_source,cooked,99,24,0.2,0.3,0,111,100,tom|tôm|shrimp,manual_seed,1
white_fish,Cá trắng,protein_animal,protein_source,cooked,105,23,0,1,0,90,100,ca trang|cá trắng|white fish,manual_seed,1
tofu,Đậu phụ,protein_plant,protein_source,cooked,76,8,1.9,4.8,0.3,7,100,dau phu|đậu phụ|tofu,manual_seed,1
tempeh,Tempeh,protein_plant,protein_source,cooked,193,20,9,11,0,9,100,tempeh|đậu nành lên men,manual_seed,1
edamame,Đậu nành Nhật,protein_plant,protein_source,cooked,121,11.9,8.9,5.2,5.2,6,100,edamame|dau nanh nhat|đậu nành nhật,manual_seed,1
lentil,Đậu lăng,protein_plant,protein_source,cooked,116,9,20,0.4,7.9,2,100,dau lang|đậu lăng|lentil,manual_seed,1
chickpea,Đậu gà,protein_plant,protein_source,cooked,164,8.9,27.4,2.6,7.6,7,100,dau ga|đậu gà|chickpea,manual_seed,1
black_bean,Đậu đen,protein_plant,protein_source,cooked,132,8.9,23.7,0.5,8.7,1,100,dau den|đậu đen|black bean,manual_seed,1
cooked_white_rice,Cơm trắng,starchy_carb,carb_source,cooked,130,2.7,28,0.3,0.4,1,150,com trang|cơm trắng|white rice|cooked rice,manual_seed,1
cooked_brown_rice,Cơm gạo lứt,starchy_carb,carb_source,cooked,123,2.7,25.6,1,1.8,4,150,com gao lut|cơm gạo lứt|brown rice,manual_seed,1
sweet_potato,Khoai lang,starchy_carb,carb_source,cooked,86,1.6,20.1,0.1,3,55,150,khoai lang|sweet potato,manual_seed,1
potato,Khoai tây,starchy_carb,carb_source,cooked,87,1.9,20.1,0.1,1.8,6,150,khoai tay|khoai tây|potato,manual_seed,1
oats,Yến mạch,grain,carb_source,raw,389,16.9,66.3,6.9,10.6,2,50,yen mach|yến mạch|oats|oatmeal,manual_seed,1
whole_wheat_bread,Bánh mì nguyên cám,grain,carb_source,cooked,247,13,41,4.2,7,400,60,banh mi nguyen cam|bánh mì nguyên cám|whole wheat bread,manual_seed,1
rice_noodle,Bún/phở gạo,starchy_carb,carb_source,cooked,109,1.8,24.9,0.2,1,5,150,bun|bún|pho|phở|rice noodle,manual_seed,1
pasta,Mì pasta,grain,carb_source,cooked,131,5,25,1.1,1.8,6,150,mi y|mì ý|pasta,manual_seed,1
corn,Ngô,starchy_carb,carb_source,cooked,96,3.4,21,1.5,2.4,1,100,ngo|ngô|corn,manual_seed,1
broccoli,Bông cải xanh,vegetable,vegetable,cooked,35,2.4,7.2,0.4,3.3,41,100,bong cai xanh|bông cải xanh|sup lo xanh|súp lơ xanh|broccoli,manual_seed,1
spinach,Cải bó xôi,vegetable,vegetable,cooked,23,2.9,3.6,0.4,2.2,79,100,cai bo xoi|cải bó xôi|spinach,manual_seed,1
cucumber,Dưa chuột,vegetable,vegetable,raw,15,0.7,3.6,0.1,0.5,2,100,dua chuot|dưa chuột|cucumber,manual_seed,1
